stt,khoi,ma_de,ten_de_tai,job_executor,thuc_trang,pain_point,hau_qua,quyet_dinh_ai,mo_ta_bai_toan,nguon_su_that,xu_ly_mo_ho,gioi_han_tham_quyen,rui_ro_domain,hitl,tech_stack,dau_ra_co_ban,dau_ra_nang_cao,metric_eval,max_team,don_vi_goi_y,learner_fit
11,"VSOC - An ninh mạng","DEMO-VSOC-01","Phân loại cảnh báo an ninh theo mức độ nguy cơ","Kỹ sư SOC","Thu thập log từ nhiều nguồn","Quá nhiều cảnh báo, dễ bỏ sót","Bỏ sót tấn công thật, phản ứng muộn","Xếp hạng cảnh báo cần xử lý ngay","Kết hợp IOC, lịch sử endpoint và hành vi người dùng","SIEM, EDR, log tường lửa","Khi log thiếu, đánh dấu cần làm giàu","Không tự cách ly máy","Cực kỳ cao","Kỹ sư SOC xác nhận","Python; Elasticsearch; rule engine","Danh sách cảnh báo ưu tiên","Gợi ý bước điều tra tiếp theo","Precision; thời gian phản ứng",5,"Trung tâm SOC, doanh nghiệp có đội an ninh",null
12,"AIP","DEMO-AIP-01","Phân nhóm sự cố khi triển khai mô hình AI","ML Platform Engineer","Thu thập log pipeline suy luận","Nhiều log, khó xác định nguyên nhân","Mỗi sự cố mất hàng giờ để phân loại","Phân nhóm lỗi và đề xuất bước tiếp theo","So khớp log với runbook và incident tương tự","Log CI/CD, model serving, incident history","Khi log chưa đủ, trả trạng thái chưa xác định","Không tự rollback","Cao","ML Platform Engineer xác nhận","Python; FastAPI; OpenTelemetry","Nhóm lỗi và checklist điều tra","So khớp incident tương tự","Accuracy; time-to-triage",4,"Đội phát triển nền tảng AI",null
13,"IT - Hạ tầng IT","DEMO-ITOPS-01","Dự báo dung lượng đĩa cho máy chủ on-premise","Quản trị hệ thống","Theo dõi ổ đĩa thủ công","Đầy đĩa gây gián đoạn dịch vụ","Trễ phát hiện dẫn đến dừng dịch vụ","Dự báo ngày đầy theo từng volume","Phân tích tốc độ tăng trưởng dữ liệu và chu kỳ log","Zabbix; log ứng dụng; lịch sử dung lượng","Khi metric gián đoạn, đánh dấu không đủ dữ liệu","Không tự xóa dữ liệu","Cao","Quản trị viên duyệt kế hoạch","Python; InfluxDB; mô hình chuỗi thời gian","Dự báo ngày đầy","Đề xuất lịch dọn dẹp","MAPE; số lần đầy đĩa",3,"Đội vận hành hạ tầng",null
14,"DEV - AI thiết bị và Edge AI","DEMO-DEV-01","Tối ưu mô hình trên thiết bị biên giới hạn tài nguyên","Kỹ sư embedded AI","Nén và lượng tử hóa mô hình","Mất độ chính xác sau khi nén","Trải nghiệm người dùng kém, hao pin","Đề xuất mức nén phù hợp","So sánh accuracy và latency sau nén","TensorRT, ONNX, benchmark thiết bị","Khi benchmark không đầy đủ, giữ cấu hình an toàn","Không tự deploy","Trung bình","Kỹ sư duyệt cấu hình","Python; ONNX; TensorRT","Cấu hình nén đề xuất","Báo cáo accuracy-latency","Accuracy; latency; pin",4,"Đội phát triển sản phẩm AI trên thiết bị",null
15,"RAV - Robot và xe tự hành","DEMO-RAV-01","Cảnh báo va chạm cho xe tự hành trong kho","Kỹ sư vận hành AGV","Theo dõi cảm biến lidar và camera","Nhận diện vật cản muộn","Va chạm làm hỏng hàng và xe","Xếp hạng vùng có nguy cơ cao","Kết hợp dữ liệu cảm biến và bản đồ kho","Lidar, camera, bản đồ SLAM","Khi cảm biến lỗi, chuyển sang chế độ an toàn","Không tự ghi đè điều khiển","Cực kỳ cao","Kỹ sư vận hành xác nhận","Python; ROS; mô hình nhận diện","Cảnh báo vùng nguy cơ","Đề xuất tuyến thay thế","Recall; số lần va chạm",5,"Kho hàng tự động, nhà máy thông minh",null
16,"VFO","DEMO-VFO-01","Đánh giá hồ sơ vay tiêu dùng nhanh","Chuyên viên tín dụng","Đối chiếu chứng từ và lịch sử tín dụng","Bỏ sót hồ sơ rủi ro cao","Tăng tỷ lệ nợ xấu","Đánh dấu hồ sơ cần xem xét","Kết hợp thu nhập, nghề nghiệp và lịch sử thanh toán","Hệ thống tín dụng, hồ sơ khách hàng","Khi dữ liệu thu nhập thiếu, yêu cầu bổ sung","Không tự duyệt khoản vay","Rất cao","Chuyên viên xác nhận","Python; FastAPI; rule engine","Danh sách hồ sơ nghi ngờ","Giải thích lý do theo quy tắc","Precision; thời gian duyệt",4,"Công ty tài chính tiêu dùng, ngân hàng",null
17,"VHR - Bất động sản và ứng dụng cư dân","DEMO-VHR-01","Cảnh báo cư dân chậm đóng phí quản lý","Ban quản lý tòa nhà","Theo dõi công nợ hàng tháng","Khó nhận diện sớm","Ảnh hưởng ngân sách vận hành","Xếp hạng căn hộ cần nhắc nhở","Kết hợp lịch sử thanh toán và thông báo trước","Phần mềm quản lý, lịch sử thanh toán","Khi dữ liệu tháng trước chưa đối chiếu, hiển thị chưa xác định","Không tự phong tỏa thẻ","Trung bình","Ban quản lý duyệt","Python; rule engine","Danh sách căn hộ cần nhắc","Gợi ý kênh liên lạc","Precision; tỷ lệ thu hồi",3,"Ban quản lý tòa nhà, chung cư",null
18,"SC","DEMO-SC-01","Tối ưu lịch giao hàng cho xe tải đa điểm","Điều phối vận tải","Lên lịch thủ công theo kinh nghiệm","Trễ giao và tăng chi phí xăng","Trải nghiệm khách kém","Đề xuất thứ tự giao","Giải bài toán tuyến với ràng buộc cửa sổ thời gian","Đơn hàng, lịch xe, khoảng cách","Khi dữ liệu giao thông thiếu, dùng quy tắc giờ cao điểm","Không tự hủy chuyến","Trung bình","Điều phối viên xác nhận","Python; OR-Tools; FastAPI","Lịch trình đề xuất","So sánh nhiều phương án","Chi phí; thời gian giao",5,"Công ty vận tải, chuỗi phân phối",null
19,"PTNT","DEMO-PTNT-01","Tưới nước tự động theo độ ẩm đất và dự báo thời tiết","Kỹ sư nông nghiệp","Theo dõi cảm biến độ ẩm và lịch thời tiết","Tưới theo lịch cố định, lãng phí nước","Cây thiếu nước hoặc úng","Đề xuất khung giờ tưới","So sánh độ ẩm thực tế với ngưỡng và dự báo mưa","Cảm biến IoT, API thời tiết, lịch canh tác","Khi cảm biến lỗi, giữ lịch an toàn","Không tự bật van khi mất liên lạc","Trung bình","Kỹ sư duyệt","Python; MQTT; PostgreSQL","Khung giờ tưới đề xuất","Báo cáo lượng nước tiết kiệm","Lượng nước; sản lượng",4,"Trang trại thông minh, hợp tác xã",null
20,"DEMO - Demo","DEMO-003","Trợ lý xếp lịch họp nhóm theo múi giờ","Sinh viên","Lên lịch nhóm nhiều thành viên ở các vùng","Mỗi người rảnh khung khác nhau","Trễ buổi họp, mất phối hợp","Đề xuất khung giờ chung","Gom các khung rảnh giao nhau","Lịch cá nhân từng thành viên","Khi một người chưa cập nhật lịch, đánh dấu chưa chắc chắn","Không tự đặt lịch khi chưa xác nhận","Thấp","Sinh viên tự duyệt","JavaScript","Khung giờ đề xuất","Gợi ý người cần xác nhận","Số lần trễ họp",3,"Nhóm sinh viên làm đồ án",null
